0C7C	TELUGU FRACTION DIGIT ONE FOR EVEN POWERS OF FOUR
0C7D	TELUGU FRACTION DIGIT TWO FOR EVEN POWERS OF FOUR
0C7E	TELUGU FRACTION DIGIT THREE FOR EVEN POWERS OF FOUR
0CE6	KANNADA DIGIT ZERO
0CE7	KANNADA DIGIT ONE
0CE8	KANNADA DIGIT TWO
0CE9	KANNADA DIGIT THREE
0CEA	KANNADA DIGIT FOUR
0CEB	KANNADA DIGIT FIVE
0CEC	KANNADA DIGIT SIX
0CED	KANNADA DIGIT SEVEN
0CEE	KANNADA DIGIT EIGHT
0CEF	KANNADA DIGIT NINE
0D66	MALAYALAM DIGIT ZERO
0D67	MALAYALAM DIGIT ONE
0D68	MALAYALAM DIGIT TWO
0D69	MALAYALAM DIGIT THREE
0D6A	MALAYALAM DIGIT FOUR
0D6B	MALAYALAM DIGIT FIVE
0D6C	MALAYALAM DIGIT SIX
0D6D	MALAYALAM DIGIT SEVEN
0D6E	MALAYALAM DIGIT EIGHT
0D6F	MALAYALAM DIGIT NINE
0D70	MALAYALAM NUMBER TEN
0D71	MALAYALAM NUMBER ONE HUNDRED
0D72	MALAYALAM NUMBER ONE THOUSAND
0DE6	SINHALA LITH DIGIT ZERO
0DE7	SINHALA LITH DIGIT ONE
0DE8	SINHALA LITH DIGIT TWO
0DE9	SINHALA LITH DIGIT THREE
0DEA	SINHALA LITH DIGIT FOUR
0DEB	SINHALA LITH DIGIT FIVE
0DEC	SINHALA LITH DIGIT SIX
0DED	SINHALA LITH DIGIT SEVEN
0DEE	SINHALA LITH DIGIT EIGHT
0DEF	SINHALA LITH DIGIT NINE
0E50	THAI DIGIT ZERO
0E51	THAI DIGIT ONE
0E52	THAI DIGIT TWO
0E53	THAI DIGIT THREE
0E54	THAI DIGIT FOUR
0E55	THAI DIGIT FIVE
0E56	THAI DIGIT SIX
0E57	THAI DIGIT SEVEN
0E58	THAI DIGIT EIGHT
0E59	THAI DIGIT NINE
0ED0	LAO DIGIT ZERO
0ED1	LAO DIGIT ONE
0ED2	LAO DIGIT TWO
0ED3	LAO DIGIT THREE
0ED4	LAO DIGIT FOUR
0ED5	LAO DIGIT FIVE
0ED6	LAO DIGIT SIX
0ED7	LAO DIGIT SEVEN
0ED8	LAO DIGIT EIGHT
0ED9	LAO DIGIT NINE
0F20	TIBETAN DIGIT ZERO
0F21	TIBETAN DIGIT ONE
0F22	TIBETAN DIGIT TWO
0F23	TIBETAN DIGIT THREE
0F24	TIBETAN DIGIT FOUR
0F25	TIBETAN DIGIT FIVE
0F26	TIBETAN DIGIT SIX
0F27	TIBETAN DIGIT SEVEN
0F28	TIBETAN DIGIT EIGHT
0F29	TIBETAN DIGIT NINE
0F2A	TIBETAN DIGIT HALF ONE
0F2B	TIBETAN DIGIT HALF TWO
0F2C	TIBETAN DIGIT HALF THREE
0F2D	TIBETAN DIGIT HALF FOUR
0F2E	TIBETAN DIGIT HALF FIVE
0F2F	TIBETAN DIGIT HALF SIX
0F30	TIBETAN DIGIT HALF SEVEN
0F31	TIBETAN DIGIT HALF EIGHT
0F32	TIBETAN DIGIT HALF NINE
0F33	TIBETAN DIGIT HALF ZERO
1040	MYANMAR DIGIT ZERO
1041	MYANMAR DIGIT ONE
1042	MYANMAR DIGIT TWO
1043	MYANMAR DIGIT THREE
1044	MYANMAR DIGIT FOUR
1045	MYANMAR DIGIT FIVE
1046	MYANMAR DIGIT SIX
1047	MYANMAR DIGIT SEVEN
1048	MYANMAR DIGIT EIGHT
1049	MYANMAR DIGIT NINE
1090	MYANMAR SHAN DIGIT ZERO
1091	MYANMAR SHAN DIGIT ONE
1092	MYANMAR SHAN DIGIT TWO
1093	MYANMAR SHAN DIGIT THREE
1094	MYANMAR SHAN DIGIT FOUR
1095	MYANMAR SHAN DIGIT FIVE
1096	MYANMAR SHAN DIGIT SIX
1097	MYANMAR SHAN DIGIT SEVEN
1098	MYANMAR SHAN DIGIT EIGHT
1099	MYANMAR SHAN DIGIT NINE
1369	ETHIOPIC DIGIT ONE
136A	ETHIOPIC DIGIT TWO
136B	ETHIOPIC DIGIT THREE
136C	ETHIOPIC DIGIT FOUR
136D	ETHIOPIC DIGIT FIVE
136E	ETHIOPIC DIGIT SIX
136F	ETHIOPIC DIGIT SEVEN
1370	ETHIOPIC DIGIT EIGHT
1371	ETHIOPIC DIGIT NINE
1372	ETHIOPIC NUMBER TEN
1373	ETHIOPIC NUMBER TWENTY
1374	ETHIOPIC NUMBER THIRTY
1375	ETHIOPIC NUMBER FORTY
1376	ETHIOPIC NUMBER FIFTY
1377	ETHIOPIC NUMBER SIXTY
1378	ETHIOPIC NUMBER SEVENTY
1379	ETHIOPIC NUMBER EIGHTY
137A	ETHIOPIC NUMBER NINETY
137B	ETHIOPIC NUMBER HUNDRED
137C	ETHIOPIC NUMBER TEN THOUSAND
17E0	KHMER DIGIT ZERO
17E1	KHMER DIGIT ONE
17E2	KHMER DIGIT TWO
17E3	KHMER DIGIT THREE
17E4	KHMER DIGIT FOUR
17E5	KHMER DIGIT FIVE
17E6	KHMER DIGIT SIX
17E7	KHMER DIGIT SEVEN
17E8	KHMER DIGIT EIGHT
17E9	KHMER DIGIT NINE
1810	MONGOLIAN DIGIT ZERO
1811	MONGOLIAN DIGIT ONE
1812	MONGOLIAN DIGIT TWO
1813	MONGOLIAN DIGIT THREE
1814	MONGOLIAN DIGIT FOUR
1815	MONGOLIAN DIGIT FIVE
1816	MONGOLIAN DIGIT SIX
1817	MONGOLIAN DIGIT SEVEN
1818	MONGOLIAN DIGIT EIGHT
1819	MONGOLIAN DIGIT NINE
1946	LIMBU DIGIT ZERO
1947	LIMBU DIGIT ONE
1948	LIMBU DIGIT TWO
1949	LIMBU DIGIT THREE
194A	LIMBU DIGIT FOUR
194B	LIMBU DIGIT FIVE
194C	LIMBU DIGIT SIX
194D	LIMBU DIGIT SEVEN
194E	LIMBU DIGIT EIGHT
194F	LIMBU DIGIT NINE
19D0	NEW TAI LUE DIGIT ZERO
19D1	NEW TAI LUE DIGIT ONE
19D2	NEW TAI LUE DIGIT TWO
19D3	NEW TAI LUE DIGIT THREE
19D4	NEW TAI LUE DIGIT FOUR
19D5	NEW TAI LUE DIGIT FIVE
19D6	NEW TAI LUE DIGIT SIX
19D7	NEW TAI LUE DIGIT SEVEN
19D8	NEW TAI LUE DIGIT EIGHT
19D9	NEW TAI LUE DIGIT NINE
19DA	NEW TAI LUE THAM DIGIT ONE
1A80	TAI THAM HORA DIGIT ZERO
1A81	TAI THAM HORA DIGIT ONE
1A82	TAI THAM HORA DIGIT TWO
1A83	TAI THAM HORA DIGIT THREE
1A84	TAI THAM HORA DIGIT FOUR
1A85	TAI THAM HORA DIGIT FIVE
1A86	TAI THAM HORA DIGIT SIX
1A87	TAI THAM HORA DIGIT SEVEN
1A88	TAI THAM HORA DIGIT EIGHT
1A89	TAI THAM HORA DIGIT NINE
1A90	TAI THAM THAM DIGIT ZERO
1A91	TAI THAM THAM DIGIT ONE
1A92	TAI THAM THAM DIGIT TWO
1A93	TAI THAM THAM DIGIT THREE
1A94	TAI THAM THAM DIGIT FOUR
1A95	TAI THAM THAM DIGIT FIVE
1A96	TAI THAM THAM DIGIT SIX
1A97	TAI THAM THAM DIGIT SEVEN
1A98	TAI THAM THAM DIGIT EIGHT
1A99	TAI THAM THAM DIGIT NINE
1B50	BALINESE DIGIT ZERO
1B51	BALINESE DIGIT ONE
1B52	BALINESE DIGIT TWO
1B53	BALINESE DIGIT THREE
1B54	BALINESE DIGIT FOUR
1B55	BALINESE DIGIT FIVE
1B56	BALINESE DIGIT SIX
1B57	BALINESE DIGIT SEVEN
1B58	BALINESE DIGIT EIGHT
1B59	BALINESE DIGIT NINE
1BB0	SUNDANESE DIGIT ZERO
1BB1	SUNDANESE DIGIT ONE
1BB2	SUNDANESE DIGIT TWO
1BB3	SUNDANESE DIGIT THREE
1BB4	SUNDANESE DIGIT FOUR
1BB5	SUNDANESE DIGIT FIVE
1BB6	SUNDANESE DIGIT SIX
1BB7	SUNDANESE DIGIT SEVEN
1BB8	SUNDANESE DIGIT EIGHT
1BB9	SUNDANESE DIGIT NINE
1C40	LEPCHA DIGIT ZERO
1C41	LEPCHA DIGIT ONE
1C42	LEPCHA DIGIT TWO
1C43	LEPCHA DIGIT THREE
1C44	LEPCHA DIGIT FOUR
1C45	LEPCHA DIGIT FIVE
1C46	LEPCHA DIGIT SIX
1C47	LEPCHA DIGIT SEVEN
1C48	LEPCHA DIGIT EIGHT
1C49	LEPCHA DIGIT NINE
1C50	OL CHIKI DIGIT ZERO
1C51	OL CHIKI DIGIT ONE
1C52	OL CHIKI DIGIT TWO
1C53	OL CHIKI DIGIT THREE
1C54	OL CHIKI DIGIT FOUR
1C55	OL CHIKI DIGIT FIVE
1C56	OL CHIKI DIGIT SIX
1C57	OL CHIKI DIGIT SEVEN
1C58	OL CHIKI DIGIT EIGHT
1C59	OL CHIKI DIGIT NINE
206E	NATIONAL DIGIT SHAPES
206F	NOMINAL DIGIT SHAPES
2160	ROMAN NUMERAL ONE
2161	ROMAN NUMERAL TWO
2162	ROMAN NUMERAL THREE
2163	ROMAN NUMERAL FOUR
2164	ROMAN NUMERAL FIVE
2165	ROMAN NUMERAL SIX
2166	ROMAN NUMERAL SEVEN
2167	ROMAN NUMERAL EIGHT
2168	ROMAN NUMERAL NINE
2169	ROMAN NUMERAL TEN
216A	ROMAN NUMERAL ELEVEN
216B	ROMAN NUMERAL TWELVE
